condition,replicate,major_category,label,category_n,feature,observed,expected,lift,z_score,empirical_p
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,hydrology,1088,465.742,2.33606,33.5509,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,mobility,359,383.95,0.93502,-1.4525,0.08583
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,boundary,551,446.788,1.23325,5.7828,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,livelihood,450,446.704,1.00738,0.1778,0.43912
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,dwelling,548,573.586,0.95539,-1.2763,0.1018
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,death_ritual,217,301.58,0.71954,-5.751,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,taboo_time_weather,609,503.014,1.2107,5.4966,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,actors,949,638.166,1.48707,15.1005,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,actions,158,244.206,0.64699,-6.401,0.002
category_name_masked,0,ヘビ・リュウ,Snake/Dragon,2335,strict_boundary_interface,930,622.532,1.4939,15.3745,0.002
category_name_masked,0,ユウレイ,Yurei,1641,hydrology,185,316.896,0.58379,-8.846,0.002
category_name_masked,0,ユウレイ,Yurei,1641,mobility,358,280.006,1.27854,5.0141,0.002
category_name_masked,0,ユウレイ,Yurei,1641,boundary,404,294.956,1.3697,7.4,0.002
category_name_masked,0,ユウレイ,Yurei,1641,livelihood,183,296.596,0.617,-7.2917,0.002
category_name_masked,0,ユウレイ,Yurei,1641,dwelling,455,399.65,1.1385,3.182,0.002
category_name_masked,0,ユウレイ,Yurei,1641,death_ritual,802,224.738,3.5686,45.1498,0.002
category_name_masked,0,ユウレイ,Yurei,1641,taboo_time_weather,356,345.522,1.03033,0.6444,0.2994
category_name_masked,0,ユウレイ,Yurei,1641,actors,469,431.528,1.08684,2.1435,0.02395
category_name_masked,0,ユウレイ,Yurei,1641,actions,415,213.106,1.94739,15.6585,0.002
category_name_masked,0,ユウレイ,Yurei,1641,strict_boundary_interface,556,430.818,1.29057,7.5329,0.002
category_name_masked,0,カッパ,Kappa,1412,hydrology,781,286.256,2.72833,33.6701,0.002
category_name_masked,0,カッパ,Kappa,1412,mobility,160,239.314,0.66858,-6.0791,0.002
category_name_masked,0,カッパ,Kappa,1412,boundary,162,233.676,0.69327,-5.5054,0.002
category_name_masked,0,カッパ,Kappa,1412,livelihood,398,270.562,1.47101,8.8229,0.002
category_name_masked,0,カッパ,Kappa,1412,dwelling,247,335.916,0.7353,-5.8496,0.002
category_name_masked,0,カッパ,Kappa,1412,death_ritual,107,182.908,0.58499,-6.5079,0.002
category_name_masked,0,カッパ,Kappa,1412,taboo_time_weather,182,296.018,0.61483,-7.5468,0.002
category_name_masked,0,カッパ,Kappa,1412,actors,410,377.882,1.08499,2.0691,0.02196
category_name_masked,0,カッパ,Kappa,1412,actions,127,156.334,0.81236,-2.7316,0.00599
category_name_masked,0,カッパ,Kappa,1412,strict_boundary_interface,460,370.044,1.2431,5.9614,0.002
category_name_masked,0,タヌキ,Tanuki,1268,hydrology,153,247.262,0.61878,-7.1143,0.002
category_name_masked,0,タヌキ,Tanuki,1268,mobility,294,218.154,1.34767,6.043,0.002
category_name_masked,0,タヌキ,Tanuki,1268,boundary,196,244.984,0.80005,-3.6426,0.002
category_name_masked,0,タヌキ,Tanuki,1268,livelihood,186,234.66,0.79264,-3.6861,0.002
category_name_masked,0,タヌキ,Tanuki,1268,dwelling,309,312.904,0.98752,-0.2573,0.3992
category_name_masked,0,タヌキ,Tanuki,1268,death_ritual,66,166.688,0.39595,-8.2279,0.002
category_name_masked,0,タヌキ,Tanuki,1268,taboo_time_weather,341,278.8,1.2231,4.059,0.002
category_name_masked,0,タヌキ,Tanuki,1268,actors,355,342.328,1.03702,0.8103,0.22156
category_name_masked,0,タヌキ,Tanuki,1268,actions,178,137.512,1.29443,3.8349,0.002
category_name_masked,0,タヌキ,Tanuki,1268,strict_boundary_interface,296,339.158,0.87275,-2.8015,0.002
category_name_masked,0,テング,Tengu,1224,hydrology,156,241.756,0.64528,-6.1518,0.002
category_name_masked,0,テング,Tengu,1224,mobility,135,197.028,0.68518,-5.0222,0.002
category_name_masked,0,テング,Tengu,1224,boundary,181,232.476,0.77857,-3.8202,0.002
category_name_masked,0,テング,Tengu,1224,livelihood,181,224.672,0.80562,-3.1952,0.002
category_name_masked,0,テング,Tengu,1224,dwelling,207,291.92,0.7091,-6.1656,0.002
category_name_masked,0,テング,Tengu,1224,death_ritual,35,156.056,0.22428,-10.3856,0.002
category_name_masked,0,テング,Tengu,1224,taboo_time_weather,266,261.246,1.0182,0.3227,0.38523
category_name_masked,0,テング,Tengu,1224,actors,307,324.978,0.94468,-1.2287,0.10978
category_name_masked,0,テング,Tengu,1224,actions,124,130.274,0.95184,-0.5923,0.30339
category_name_masked,0,テング,Tengu,1224,strict_boundary_interface,268,321.146,0.83451,-3.5424,0.002
category_name_masked,0,オニ,Oni,807,hydrology,127,159.81,0.79469,-3.0104,0.002
category_name_masked,0,オニ,Oni,807,mobility,195,135.32,1.44103,5.8286,0.002
category_name_masked,0,オニ,Oni,807,boundary,179,153.316,1.16752,2.4958,0.01597
category_name_masked,0,オニ,Oni,807,livelihood,172,155.446,1.10649,1.5423,0.05788
category_name_masked,0,オニ,Oni,807,dwelling,236,197.808,1.19308,3.1739,0.002
category_name_masked,0,オニ,Oni,807,death_ritual,86,104.896,0.81986,-2.0833,0.01597
category_name_masked,0,オニ,Oni,807,taboo_time_weather,172,174.216,0.98728,-0.2013,0.42515
category_name_masked,0,オニ,Oni,807,actors,239,219.43,1.08919,1.5637,0.06986
category_name_masked,0,オニ,Oni,807,actions,65,84.344,0.77065,-2.2445,0.00998
category_name_masked,0,オニ,Oni,807,strict_boundary_interface,250,216.294,1.15583,2.7967,0.00399
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,hydrology,92,146.718,0.62705,-5.1322,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,mobility,51,115.59,0.44121,-6.6515,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,boundary,93,128.208,0.72538,-3.4025,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,livelihood,213,141.046,1.51015,7.2192,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,dwelling,121,173.96,0.69556,-4.6724,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,death_ritual,19,89.42,0.21248,-7.5494,0.002
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,taboo_time_weather,155,153.228,1.01156,0.1733,0.43713
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,actors,205,195.626,1.04792,0.815,0.23752
category_name_masked,0,ヤマノカミ,Yama-no-kami,722,actions,35,73.744,0.47461,-4.9106,0.002
