major_category,category_label,category_n,feature,feature_label,analysis_role,observed_count,observed_prevalence,observed_prevalence_ci_low,observed_prevalence_ci_high,null_mean_count,null_median_prevalence,null_prevalence_ci_low,null_prevalence_ci_high,observed_to_null_ratio,prevalence_difference,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,empirical_p_positive,empirical_p_negative,empirical_p_two_sided,valid_permutations,stratification,benjamini_hochberg_q
ヤマノカミ,Yama-no-kami,722,actors,Actors,screened cell,205,0.28393,0.25225,0.3179,194.903,0.27008,0.23823,0.30194,1.0518,0.01398,1.05888,0.89908,1.24709,0.207879,0.817118,0.421258,10000,prefecture,0.468064
ヤマノカミ,Yama-no-kami,722,actions,Actions,screened cell,35,0.04848,0.03506,0.06667,73.623,0.10249,0.08033,0.12327,0.47539,-0.05349,0.40991,0.29136,0.57671,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヤマノカミ,Yama-no-kami,722,strict_boundary_interface,Strict interface,screened cell,91,0.12604,0.10379,0.15224,92.434,0.12881,0.10526,0.15235,0.98448,-0.00199,0.9208,0.73744,1.14975,0.589141,0.453755,0.864714,10000,prefecture,0.886886
イヌガミ,Inugami,552,hydrology,Water setting,screened cell,39,0.07065,0.05211,0.09513,111.383,0.20109,0.16848,0.23551,0.35014,-0.13113,0.28372,0.20466,0.39332,1.0,0.0001,0.0001,10000,prefecture,0.000211
イヌガミ,Inugami,552,mobility,Mobility,screened cell,112,0.2029,0.17146,0.23845,91.838,0.16667,0.13768,0.19746,1.21954,0.03652,1.26467,1.02569,1.55935,0.009999,0.992301,0.020498,10000,prefecture,0.028273
イヌガミ,Inugami,552,boundary,Boundary,screened cell,64,0.11594,0.09185,0.14534,99.052,0.17935,0.14855,0.21014,0.64613,-0.0635,0.57218,0.44028,0.74359,1.0,0.0001,0.0001,10000,prefecture,0.000211
イヌガミ,Inugami,552,livelihood,Livelihood,screened cell,82,0.14855,0.12131,0.18065,103.271,0.18659,0.1558,0.2192,0.79403,-0.03853,0.72929,0.57588,0.92355,0.993901,0.008799,0.022398,10000,prefecture,0.030542
イヌガミ,Inugami,552,dwelling,Dwelling,screened cell,202,0.36594,0.32681,0.40692,134.401,0.24275,0.20833,0.27899,1.50296,0.12246,1.77281,1.48819,2.11185,0.0001,1.0,0.0001,10000,prefecture,0.000211
イヌガミ,Inugami,552,death_ritual,Death ritual,screened cell,47,0.08514,0.06463,0.11139,79.763,0.14493,0.11594,0.17391,0.58924,-0.05935,0.53426,0.39561,0.7215,1.0,0.0001,0.0001,10000,prefecture,0.000211
イヌガミ,Inugami,552,taboo_time_weather,"Taboo, time, or weather",screened cell,97,0.17572,0.14625,0.20968,117.659,0.21377,0.18116,0.24638,0.82441,-0.03743,0.7786,0.62436,0.97095,0.989601,0.012999,0.026497,10000,prefecture,0.03533
イヌガミ,Inugami,552,actors,Actors,screened cell,111,0.20109,0.16977,0.23654,144.519,0.26087,0.22645,0.29891,0.76806,-0.06072,0.66725,0.54111,0.8228,0.9995,0.0007,0.0014,10000,prefecture,0.002366
イヌガミ,Inugami,552,actions,Actions,screened cell,29,0.05254,0.03683,0.07443,59.093,0.10688,0.08333,0.13225,0.49076,-0.05452,0.44792,0.30769,0.65205,1.0,0.0001,0.0002,10000,prefecture,0.0004
イヌガミ,Inugami,552,strict_boundary_interface,Strict interface,screened cell,53,0.09601,0.07416,0.12346,72.591,0.13043,0.10507,0.15942,0.73012,-0.03549,0.67552,0.50804,0.89821,0.9964,0.005799,0.017998,10000,prefecture,0.025409
ネコ,Neko,466,hydrology,Water setting,screened cell,52,0.11159,0.08612,0.14341,99.7,0.21459,0.17811,0.25107,0.52157,-0.10236,0.47143,0.3529,0.62977,1.0,0.0001,0.0001,10000,prefecture,0.000211
ネコ,Neko,466,mobility,Mobility,screened cell,54,0.11588,0.08991,0.14813,79.798,0.17167,0.13948,0.20601,0.6767,-0.05536,0.64506,0.48503,0.85788,0.9995,0.0007,0.0018,10000,prefecture,0.003
ネコ,Neko,466,boundary,Boundary,screened cell,84,0.18026,0.14802,0.21773,87.513,0.18884,0.15451,0.22532,0.95986,-0.00754,0.96634,0.7618,1.22579,0.685731,0.360064,0.683432,10000,prefecture,0.732248
ネコ,Neko,466,livelihood,Livelihood,screened cell,52,0.11159,0.08612,0.14341,94.307,0.20172,0.16738,0.2382,0.55139,-0.09079,0.52366,0.39197,0.6996,1.0,0.0001,0.0001,10000,prefecture,0.000211
ネコ,Neko,466,dwelling,Dwelling,screened cell,137,0.29399,0.25445,0.33691,120.428,0.25751,0.22103,0.29828,1.13761,0.03556,1.26994,1.03884,1.55244,0.044396,0.964104,0.075592,10000,prefecture,0.094491
ネコ,Neko,466,death_ritual,Death ritual,screened cell,156,0.33476,0.29342,0.37881,66.238,0.14163,0.11159,0.17382,2.35513,0.19262,2.97549,2.44874,3.61555,0.0001,1.0,0.0001,10000,prefecture,0.000211
ネコ,Neko,466,taboo_time_weather,"Taboo, time, or weather",screened cell,117,0.25107,0.21385,0.29237,101.386,0.21674,0.1824,0.25536,1.15401,0.03351,1.23291,0.99834,1.52259,0.048595,0.961904,0.078392,10000,prefecture,0.09698
ネコ,Neko,466,actors,Actors,screened cell,98,0.2103,0.17574,0.24959,130.225,0.27897,0.2382,0.31974,0.75255,-0.06915,0.70711,0.56514,0.88474,0.9999,0.0002,0.0008,10000,prefecture,0.001391
ネコ,Neko,466,actions,Actions,screened cell,42,0.09013,0.06737,0.11959,45.954,0.09871,0.07296,0.12661,0.91397,-0.00848,0.80579,0.58574,1.1085,0.759024,0.292371,0.582242,10000,prefecture,0.635173
ネコ,Neko,466,strict_boundary_interface,Strict interface,screened cell,67,0.14378,0.11483,0.17855,63.884,0.13734,0.1073,0.16953,1.04878,0.00669,1.07512,0.8284,1.39534,0.356164,0.692331,0.729827,10000,prefecture,0.775038
ヒノタマ,Hitodama,249,hydrology,Water setting,screened cell,35,0.14056,0.10284,0.18921,52.042,0.20884,0.16064,0.26104,0.67254,-0.06844,0.61707,0.43123,0.883,0.9978,0.0042,0.010199,10000,prefecture,0.01511
ヒノタマ,Hitodama,249,mobility,Mobility,screened cell,34,0.13655,0.09939,0.18475,42.974,0.17269,0.1245,0.22088,0.79118,-0.03604,0.78109,0.54338,1.12279,0.945005,0.077392,0.147385,10000,prefecture,0.17006
ヒノタマ,Hitodama,249,boundary,Boundary,screened cell,58,0.23293,0.18473,0.28925,44.716,0.18072,0.13253,0.22892,1.29707,0.05335,1.33827,0.99623,1.79774,0.018998,0.986901,0.036196,10000,prefecture,0.046705
ヒノタマ,Hitodama,249,livelihood,Livelihood,screened cell,25,0.1004,0.06893,0.14401,46.715,0.18474,0.14056,0.23695,0.53515,-0.08721,0.46666,0.3084,0.70613,1.0,0.0002,0.0013,10000,prefecture,0.002228
ヒノタマ,Hitodama,249,dwelling,Dwelling,screened cell,58,0.23293,0.18473,0.28925,60.454,0.24096,0.18876,0.29719,0.95941,-0.00986,0.92228,0.68673,1.23862,0.667133,0.390061,0.820518,10000,prefecture,0.856193
ヒノタマ,Hitodama,249,death_ritual,Death ritual,screened cell,53,0.21285,0.16657,0.26786,38.669,0.15663,0.11245,0.2008,1.3706,0.05755,1.57136,1.15832,2.13169,0.009399,0.994401,0.017498,10000,prefecture,0.024998
ヒノタマ,Hitodama,249,taboo_time_weather,"Taboo, time, or weather",screened cell,80,0.32129,0.26638,0.38162,52.98,0.21285,0.16466,0.26506,1.50999,0.10851,1.74384,1.33483,2.27818,0.0001,1.0,0.0001,10000,prefecture,0.000211
ヒノタマ,Hitodama,249,actors,Actors,screened cell,37,0.14859,0.10977,0.1981,66.917,0.26908,0.21687,0.3253,0.55293,-0.12015,0.4633,0.32647,0.65749,1.0,0.0001,0.0001,10000,prefecture,0.000211
ヒノタマ,Hitodama,249,actions,Actions,screened cell,48,0.19277,0.14859,0.24629,29.508,0.11647,0.08032,0.15663,1.62667,0.07426,1.96064,1.42832,2.69135,0.0002,0.9999,0.0002,10000,prefecture,0.0004
ヒノタマ,Hitodama,249,strict_boundary_interface,Strict interface,screened cell,43,0.17269,0.13081,0.22452,33.224,0.13253,0.09237,0.17671,1.29425,0.03926,1.3383,0.96202,1.86177,0.041096,0.972003,0.071393,10000,prefecture,0.09018
