reported_quantity,value,source_file,json_path
archive_language.robustness.mask_audit.records_affected,13140,results.json,archive_language.robustness.mask_audit.records_affected
archive_language.robustness.mask_audit.occurrences_removed,22974,results.json,archive_language.robustness.mask_audit.occurrences_removed
archive_language.robustness.name_masking[0].effect_ratio,2.72963,results.json,archive_language.robustness.name_masking[0].effect_ratio
archive_language.robustness.name_masking[0].full_dictionary_effect_ratio,3.3757,results.json,archive_language.robustness.name_masking[0].full_dictionary_effect_ratio
archive_language.robustness.name_masking[0].relative_to_full,0.80861,results.json,archive_language.robustness.name_masking[0].relative_to_full
archive_language.robustness.name_masking[1].effect_ratio,3.56911,results.json,archive_language.robustness.name_masking[1].effect_ratio
archive_language.robustness.name_masking[1].full_dictionary_effect_ratio,4.65321,results.json,archive_language.robustness.name_masking[1].full_dictionary_effect_ratio
archive_language.robustness.name_masking[1].relative_to_full,0.76702,results.json,archive_language.robustness.name_masking[1].relative_to_full
archive_language.robustness.name_masking[2].effect_ratio,1.34955,results.json,archive_language.robustness.name_masking[2].effect_ratio
archive_language.robustness.name_masking[2].full_dictionary_effect_ratio,1.33762,results.json,archive_language.robustness.name_masking[2].full_dictionary_effect_ratio
archive_language.robustness.name_masking[2].relative_to_full,1.00892,results.json,archive_language.robustness.name_masking[2].relative_to_full
archive_language.robustness.name_masking[3].effect_ratio,1.4704,results.json,archive_language.robustness.name_masking[3].effect_ratio
archive_language.robustness.name_masking[3].full_dictionary_effect_ratio,1.4704,results.json,archive_language.robustness.name_masking[3].full_dictionary_effect_ratio
archive_language.robustness.name_masking[3].relative_to_full,1.0,results.json,archive_language.robustness.name_masking[3].relative_to_full
archive_language.robustness.dictionary_drop_summary[0].drop_rate,0.1,results.json,archive_language.robustness.dictionary_drop_summary[0].drop_rate
archive_language.robustness.dictionary_drop_summary[0].replicates,100,results.json,archive_language.robustness.dictionary_drop_summary[0].replicates
archive_language.robustness.dictionary_drop_summary[0].effect_ratio_median,3.47394,results.json,archive_language.robustness.dictionary_drop_summary[0].effect_ratio_median
archive_language.robustness.dictionary_drop_summary[0].effect_ratio_q25,3.43043,results.json,archive_language.robustness.dictionary_drop_summary[0].effect_ratio_q25
archive_language.robustness.dictionary_drop_summary[0].effect_ratio_q75,3.67094,results.json,archive_language.robustness.dictionary_drop_summary[0].effect_ratio_q75
archive_language.robustness.dictionary_drop_summary[0].effect_ratio_min,2.7764,results.json,archive_language.robustness.dictionary_drop_summary[0].effect_ratio_min
archive_language.robustness.dictionary_drop_summary[0].effect_ratio_max,3.98976,results.json,archive_language.robustness.dictionary_drop_summary[0].effect_ratio_max
archive_language.robustness.dictionary_drop_summary[0].positive_association_share,1.0,results.json,archive_language.robustness.dictionary_drop_summary[0].positive_association_share
archive_language.robustness.dictionary_drop_summary[0].relative_to_full_median,1.0291,results.json,archive_language.robustness.dictionary_drop_summary[0].relative_to_full_median
archive_language.robustness.dictionary_drop_summary[1].drop_rate,0.1,results.json,archive_language.robustness.dictionary_drop_summary[1].drop_rate
archive_language.robustness.dictionary_drop_summary[1].replicates,100,results.json,archive_language.robustness.dictionary_drop_summary[1].replicates
archive_language.robustness.dictionary_drop_summary[1].effect_ratio_median,4.74693,results.json,archive_language.robustness.dictionary_drop_summary[1].effect_ratio_median
archive_language.robustness.dictionary_drop_summary[1].effect_ratio_q25,4.65321,results.json,archive_language.robustness.dictionary_drop_summary[1].effect_ratio_q25
